title,Main_Genre
Black Panther,Action
Avengers: Infinity War,Action
Incredibles 2,Animation
Jurassic World: Fallen Kingdom,Action
Deadpool 2,Action
Mission: Impossible - Fallout,Action
Ant-Man and the Wasp,Action
Solo: A Star Wars Story,Action
Venom,Action
A Star is Born ,Music
Star Wars: The Last Jedi,Action
Beauty and the Beast ,Music
Wonder Woman,Action
Jumanji: Welcome to the Jungle,Action
Guardians of the Galaxy Vol. 2,Action
Spider-Man: Homecoming,Action
It,Horror
Thor: Ragnarok,Action
Despicable Me 3,Animation
Justice League,Action
Rogue One: A Star Wars Story,Action
Finding Dory,Animation
Captain America: Civil War,Action
The Secret Life of Pets,Animation
The Jungle Book ,Action
Deadpool,Action
Zootopia,Animation
Batman v Superman: Dawn of Justice,Action
Suicide Squad,Action
Sing,Animation
Star Wars: The Force Awakens,Action
Jurassic World,Action
Avengers: Age of Ultron,Action
Inside Out,Animation
Furious 7,Action
Minions,Animation
The Hunger Games: Mockingjay - Part 2,Action
The Martian,Sci-Fi
Cinderella,Romance
Spectre,Action
Transformers: Age of Extinction,Sci-Fi
The Hobbit: The Battle of the Five Armies,Fantasy
Guardians of the Galaxy,Sci-Fi
Maleficent,Fantasy
The Hunger Games: Mockingjay - Part 1,Sci-Fi
X-Men: Days of Future Past,Sci-Fi
Captain America: The Winter Soldier,Sci-Fi
The Amazing Spider-Man 2,Fantasy
Dawn of the Planet of the Apes,Sci-Fi
Interstellar,Sci-Fi
Frozen,Comedy
Iron Man 3,Sci-Fi
Despicable Me 2,Animation
The Hobbit: The Desolation of Smaug,Fantasy
The Hunger Games: Catching Fire,Adventure
Fast & Furious 6,Thriller
Monsters University,Comedy
Gravity,Thriller
Man of Steel,Fantasy
Thor: The Dark World,Fantasy
The Avengers,Sci-Fi
Skyfall,Thriller
The Dark Knight Rises,Thriller
The Hobbit: An Unexpected Journey,Fantasy
Ice Age: Continental Drift,Comedy
The Twilight Saga: Breaking Dawn - Part 2,Fantasy
The Amazing Spider-Man,Fantasy
Madagascar 3: Europe's Most Wanted,Comedy
The Hunger Games,Sci-Fi
Men in Black 3,Sci-Fi
Harry Potter and the Deathly Hallows - Part 2,Thriller
Transformers: Dark of the Moon,Sci-Fi
Pirates of the Caribbean: On Stranger Tides,Fantasy
The Twilight Saga: Breaking Dawn - Part 1,Fantasy
Mission: Impossible - Ghost Protocol,Thriller
Kung Fu Panda 2,Animation
Fast Five,Thriller
The Hangover Part II,Comedy
The Smurfs,Comedy
Cars 2,Comedy
Toy Story 3,Comedy
Alice in Wonderland,Fantasy
Harry Potter and the Deathly Hallows - Part 1,Fantasy
Inception,Sci-Fi
Shrek Forever After,Comedy
The Twilight Saga: Eclipse,Fantasy
Iron Man 2,Sci-Fi
Tangled,Animation
Despicable Me,Animation
How to Train Your Dragon,Animation
Avatar,Fantasy
Harry Potter and the Half-Blood Prince,Fantasy
Ice Age: Dawn of the Dinosaurs,Animation
Transformers: Revenge of the Fallen,Sci-Fi
2012,Sci-Fi
Up,Comedy
The Twilight Saga: New Moon,Fantasy
Sherlock Holmes,Crime
Angels & Demons,Thriller
The Hangover,Comedy
The Dark Knight,Drama
Indiana Jones and the Kingdom of the Crystal Skull,Adventure
Kung Fu Panda,Animation
Hancock,Fantasy
Mamma Mia!,Romance
Madagascar: Escape 2 Africa,Animation
Quantum of Solace,Adventure
Iron Man,Sci-Fi
WALL-E,Animation
The Chronicles of Narnia: Prince Caspian,Family
Pirates of the Caribbean: At World's End,Fantasy
Harry Potter and the Order of the Phoenix,Fantasy
Spider-Man 3,Adventure
Shrek the Third,Comedy
Transformers,Sci-Fi
Ratatouille,Animation
I Am Legend,Thriller
The Simpsons Movie,Comedy
National Treasure: Book of Secrets,Thriller
300,War
Pirates of the Caribbean: Dead Man's Chest,Fantasy
The Da Vinci Code,Thriller
Ice Age: The Meltdown,Animation
Casino Royale,Thriller
Night at the Museum,Comedy
Cars,Comedy
X-Men: The Last Stand,Sci-Fi
Mission: Impossible III,Thriller
Superman Returns,Fantasy
Happy Feet,Animation
Harry Potter and the Goblet of Fire,Fantasy
Star Wars Episode III: Revenge of the Sith,Fantasy
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy
War of the Worlds,Thriller
King Kong,Drama
Madagascar,Comedy
Mr. & Mrs. Smith,Crime
Charlie and the Chocolate Factory,Comedy
Batman Begins,Adventure
Hitch,Romance
Shrek 2,Comedy
Harry Potter and the Prisoner of Azkaban,Fantasy
Spider-Man 2,Adventure
The Incredibles,Animation
The Passion of the Christ,Drama
The Day After Tomorrow,Sci-Fi
Meet the Fockers,Romance
Troy,Adventure
Shark Tale,Comedy
Ocean's Twelve,Thriller
The Lord of the Rings: The Return of the King,Fantasy
Finding Nemo,Comedy
The Matrix Reloaded,Sci-Fi
Pirates of the Caribbean: The Curse of the Black Pearl,Fantasy
Bruce Almighty,Fantasy
The Last Samurai,History
Terminator 3: Rise of the Machines,Sci-Fi
The Matrix Revolutions,Sci-Fi
X2,Sci-Fi
Bad Boys II,Crime
The Lord of the Rings: The Two Towers,Fantasy
Harry Potter and the Chamber of Secrets,Fantasy
Spider-Man,Adventure
Star Wars Episode II: Attack of the Clones,Fantasy
Men in Black II,Fantasy
Die Another Day,Crime
Signs,Thriller
Ice Age,Comedy
My Big Fat Greek Wedding,Romance
Minority Report,Sci-Fi
Harry Potter and the Sorcerer's Stone,Fantasy
The Lord of the Rings: The Fellowship of the Ring,Fantasy
"Monsters, Inc.",Comedy
Shrek,Comedy
Ocean's Eleven,Thriller
Pearl Harbor,Romance
The Mummy Returns,Fantasy
Jurassic Park III,Sci-Fi
Planet of the Apes,Sci-Fi
Hannibal,Thriller
Mission: Impossible II,Thriller
Gladiator,Drama
Cast Away,Drama
What Women Want,Romance
Dinosaur,Animation
How the Grinch Stole Christmas,Fantasy
Meet the Parents,Comedy
The Perfect Storm,Drama
X-Men,Sci-Fi
What Lies Beneath,Thriller
Star Wars Episode I: The Phantom Menace,Fantasy
The Sixth Sense,Thriller
Toy Story 2,Comedy
The Matrix,Sci-Fi
Tarzan,Drama
The Mummy,Fantasy
Notting Hill,Romance
The World Is Not Enough,Crime
American Beauty,Romance
Austin Powers: The Spy Who Shagged Me,Comedy
Armageddon,Sci-Fi
Saving Private Ryan,War
Godzilla,Thriller
There's Something About Mary,Romance
A Bug's Life,Comedy
