title,imdb_rating,length,rank_in_year,rating,studio,worldwide_gross,year
Black Panther,7.4,135,1,PG-13,Walt Disney Pictures,"$700,059,566",2018
Avengers: Infinity War,8.5,156,2,PG-13,Walt Disney Pictures,"$678,815,482",2018
Incredibles 2,7.8,118,3,PG,Pixar,"$608,581,744",2018
Jurassic World: Fallen Kingdom,6.2,129,4,PG-13,Universal Pictures,"$416,769,345",2018
Deadpool 2,7.8,119,5,R,20th Century Fox,"$318,491,426",2018
Mission: Impossible - Fallout,7.9,147,6,PG-13,Paramount Pictures,"$220,159,104",2018
Ant-Man and the Wasp,7.2,118,7,PG-13,Walt Disney Pictures,"$216,648,740",2018
Solo: A Star Wars Story,7,135,8,PG-13,Walt Disney Pictures,"$213,767,512",2018
Venom,6.9,112,9,PG-13,Columbia Pictures,"$213,030,843",2018
A Star is Born ,8.1,135,10,R,Warner Bros,"$199,721,727",2018
Star Wars: The Last Jedi,7.2,152,1,PG-13,Walt Disney Pictures,"$620,181,382",2017
Beauty and the Beast ,7.2,129,2,PG,Walt Disney Pictures,"$504,014,165",2017
Wonder Woman,7.5,141,3,PG-13,Warner Bros,"$412,563,408",2017
Jumanji: Welcome to the Jungle,7,112,4,PG-13,Sony Pictures,"$404,515,480",2017
Guardians of the Galaxy Vol. 2,7.7,137,5,PG-13,Walt Disney Pictures,"$389,813,101",2017
Spider-Man: Homecoming,7.5,133,6,PG-13,Sony Pictures,"$334,201,140",2017
It,7.4,135,7,R,Warner Bros,"$327,481,748",2017
Thor: Ragnarok,7.9,130,8,PG-13,Walt Disney Pictures,"$315,058,289",2017
Despicable Me 3,6.3,90,9,PG,Universal Pictures,"$264,624,300",2017
Justice League,6.5,110,10,PG-13,Warner Bros,"$229,024,295",2017
Rogue One: A Star Wars Story,7.8,133,1,PG-13,Walt Disney Pictures,"$532,177,324",2016
Finding Dory,7.3,100,2,PG,Walt Disney Pictures,"$486,295,561",2016
Captain America: Civil War,7.8,146,3,PG-13,Walt Disney Pictures,"$408,084,349",2016
The Secret Life of Pets,6.5,90,4,PG,Universal Pictures,"$368,384,330",2016
The Jungle Book ,7.4,111,5,PG,Walt Disney Pictures,"$364,001,123",2016
Deadpool,8,103,6,R,20th Century Fox,"$363,070,709",2016
Zootopia,8,108,7,PG,Walt Disney Pictures,"$341,268,248",2016
Batman v Superman: Dawn of Justice,6.5,151,8,PG-13,Warner Bros,"$330,360,194",2016
Suicide Squad,6.1,123,9,PG-13,Warner Bros,"$325,100,054",2016
Sing,7.1,108,10,PG,Universal Pictures,"$270,395,425",2016
Star Wars: The Force Awakens,8,136,1,PG-13,Walt Disney Pictures,"$936,662,225",2015
Jurassic World,7,123,2,PG-13,Universal Pictures,"$652,270,625",2015
Avengers: Age of Ultron,7.4,141,3,PG-13,Walt Disney Pictures,"$459,005,868",2015
Inside Out,8.2,94,4,PG,Pixar,"$356,461,711",2015
Furious 7,7.2,140,5,PG-13,Universal Pictures,"$353,007,020",2015
Minions,6.4,91,6,PG,Universal Pictures,"$336,045,770",2015
The Hunger Games: Mockingjay - Part 2,6.6,137,7,PG-13,Lionsgate Films,"$281,723,902",2015
The Martian,8,164,8,PG-13,20th Century Fox,"$228,433,663",2015
Cinderella,6.9,105,9,PG,Walt Disney Pictures,"$201,151,353",2015
Spectre,6.8,150,10,PG-13,Sony Pictures,"$200,074,609",2015
Transformers: Age of Extinction,5.8,165,1,PG-13,Paramount Pictures,"$1,091,404,499.00",2014
The Hobbit: The Battle of the Five Armies,7.5,144,2,PG-13,Warner Bros,"$955,113,783.00",2014
Guardians of the Galaxy,8.1,121,3,PG-13,Walt Disney Pictures,"$774,176,600.00",2014
Maleficent,7.1,97,4,PG,Walt Disney Pictures,"$758,654,942.00",2014
The Hunger Games: Mockingjay - Part 1,6.8,123,5,PG-13,Lionsgate Films,"$752,100,229.00",2014
X-Men: Days of Future Past,8.1,131,6,PG-13,20th Century Fox,"$748,121,534.00",2014
Captain America: The Winter Soldier,7.8,136,7,PG-13,Walt Disney Pictures,"$714,766,572.00",2014
The Amazing Spider-Man 2,6.9,142,8,PG-13,Columbia Pictures,"$709,582,323.00",2014
Dawn of the Planet of the Apes,7.7,130,9,PG-13,20th Century Fox,"$708,835,589.00",2014
Interstellar,8.7,169,10,PG-13,Paramount Pictures,"$672,974,414.00",2014
Frozen,7.7,102,1,PG,Walt Disney Pictures,"$1,274,219,009.00",2013
Iron Man 3,7.3,130,2,PG-13,Walt Disney Pictures,"$1,215,439,994.00",2013
Despicable Me 2,7.5,98,3,PG,Universal Pictures,"$970,761,885.00",2013
The Hobbit: The Desolation of Smaug,8,161,4,PG-13,Warner Bros,"$960,366,855.00",2013
The Hunger Games: Catching Fire,7.7,146,5,PG-13,Lionsgate Films,"$864,912,963.00",2013
Fast & Furious 6,7.2,130,6,PG-13,Universal Pictures,"$788,679,850.00",2013
Monsters University,7.4,104,7,G,Walt Disney Pictures,"$743,559,607.00",2013
Gravity,7.9,91,8,PG-13,Warner Bros,"$716,392,705.00",2013
Man of Steel,7.2,143,9,PG-13,Warner Bros,"$668,045,518.00",2013
Thor: The Dark World,7.1,112,10,PG-13,Walt Disney Pictures,"$644,783,140.00",2013
The Avengers,8.2,143,1,PG-13,Walt Disney Pictures,"$1,518,594,910.00",2012
Skyfall,7.8,143,2,PG-13,Metro-Goldwyn-Mayer,"$1,108,561,013.00",2012
The Dark Knight Rises,8.5,165,3,PG-13,Warner Bros,"$1,084,439,099.00",2012
The Hobbit: An Unexpected Journey,8,169,4,PG-13,Warner Bros,"$1,017,003,568.00",2012
Ice Age: Continental Drift,6.7,88,5,PG,20th Century Fox,"$877,244,782.00",2012
The Twilight Saga: Breaking Dawn - Part 2,5.6,115,6,PG-13,Lionsgate Films,"$829,685,377.00",2012
The Amazing Spider-Man,7.1,136,7,PG-13,Columbia Pictures,"$757,930,663.00",2012
Madagascar 3: Europe's Most Wanted,7,93,8,PG,Paramount Pictures,"$746,921,274.00",2012
The Hunger Games,7.3,142,9,PG-13,Lionsgate Films,"$691,247,768.00",2012
Men in Black 3,6.9,106,10,PG-13,Columbia Pictures,"$624,026,776.00",2012
Harry Potter and the Deathly Hallows - Part 2,8.1,130,1,PG-13,Warner Bros,"$1,341,511,219.00",2011
Transformers: Dark of the Moon,6.3,154,2,PG-13,Paramount Pictures,"$1,123,794,079.00",2011
Pirates of the Caribbean: On Stranger Tides,6.7,136,3,PG-13,Walt Disney Pictures,"$1,045,713,802.00",2011
The Twilight Saga: Breaking Dawn - Part 1,4.9,117,4,PG-13,Lionsgate Films,"$712,171,856.00",2011
Mission: Impossible - Ghost Protocol,7.4,133,5,PG-13,Paramount Pictures,"$694,713,380.00",2011
Kung Fu Panda 2,7.3,91,6,PG,Paramount Pictures,"$665,692,281.00",2011
Fast Five,7.3,131,7,PG-13,Universal Pictures,"$626,137,675.00",2011
The Hangover Part II,6.5,102,8,R,Warner Bros,"$586,764,305.00",2011
The Smurfs,5.5,103,9,PG,Columbia Pictures,"$563,749,323.00",2011
Cars 2,6.3,106,10,G,Walt Disney Pictures,"$559,852,396.00",2011
Toy Story 3,8.4,103,1,G,Walt Disney Pictures,"$1,063,171,911.00",2010
Alice in Wonderland,6.5,108,2,PG,Walt Disney Pictures,"$1,025,467,110.00",2010
Harry Potter and the Deathly Hallows - Part 1,7.7,146,3,PG-13,Warner Bros,"$960,283,305.00",2010
Inception,8.8,148,4,PG-13,Warner Bros,"$825,531,030.00",2010
Shrek Forever After,6.4,93,5,PG,Paramount Pictures,"$752,600,867.00",2010
The Twilight Saga: Eclipse,4.9,124,6,PG-13,Lionsgate Films,"$698,491,347.00",2010
Iron Man 2,7.1,124,7,PG-13,Paramount Pictures,"$623,933,331.00",2010
Tangled,7.8,100,8,PG,Walt Disney Pictures,"$591,794,936.00",2010
Despicable Me,7.7,95,9,PG,Universal Pictures,"$543,113,985.00",2010
How to Train Your Dragon,8.2,98,10,PG,Paramount Pictures,"$494,878,759.00",2010
Avatar,7.9,162,1,PG-13,20th Century Fox,"$2,749,064,328.00",2009
Harry Potter and the Half-Blood Prince,7.5,153,2,PG,Warner Bros,"$934,416,487.00",2009
Ice Age: Dawn of the Dinosaurs,7,94,3,PG,20th Century Fox,"$886,686,817.00",2009
Transformers: Revenge of the Fallen,6,150,4,PG-13,Paramount Pictures,"$836,303,693.00",2009
2012,5.8,158,5,PG-13,Columbia Pictures,"$769,304,749.00",2009
Up,8.3,96,6,PG,Pixar,"$731,342,744.00",2009
The Twilight Saga: New Moon,4.6,130,7,PG-13,Lionsgate Films,"$709,827,462.00",2009
Sherlock Holmes,7.6,128,8,PG-13,Warner Bros,"$524,028,679.00",2009
Angels & Demons,6.7,138,9,PG-13,Columbia Pictures,"$485,930,816.00",2009
The Hangover,7.8,100,10,R,Warner Bros,"$467,483,912.00",2009
The Dark Knight,9,152,1,PG-13,Warner Bros,"$997,000,000.00",2008
Indiana Jones and the Kingdom of the Crystal Skull,6.2,122,2,PG-13,Paramount Pictures,"$786,636,033.00",2008
Kung Fu Panda,7.6,92,3,PG,Paramount Pictures,"$631,744,560.00",2008
Hancock,6.5,92,4,PG-13,Columbia Pictures,"$624,386,746.00",2008
Mamma Mia!,6.4,108,5,PG-13,Universal Pictures,"$609,827,661.00",2008
Madagascar: Escape 2 Africa,6.7,89,6,PG,Paramount Pictures,"$603,900,354.00",2008
Quantum of Solace,6.7,106,7,PG-13,Metro-Goldwyn-Mayer,"$586,090,727.00",2008
Iron Man,7.9,126,8,PG-13,Paramount Pictures,"$585,174,222.00",2008
WALL-E,8.4,98,9,G,Pixar,"$521,311,860.00",2008
The Chronicles of Narnia: Prince Caspian,6.6,150,10,PG,Walt Disney Pictures,"$419,665,568.00",2008
Pirates of the Caribbean: At World's End,7.1,169,1,PG-13,Walt Disney Pictures,"$963,420,425.00",2007
Harry Potter and the Order of the Phoenix,7.4,138,2,PG-13,Warner Bros,"$939,885,929.00",2007
Spider-Man 3,6.2,139,3,PG-13,Columbia Pictures,"$890,871,626.00",2007
Shrek the Third,6.1,93,4,PG,DreamWorks,"$798,958,162.00",2007
Transformers,7.2,144,5,PG-13,DreamWorks,"$709,709,780.00",2007
Ratatouille,8,111,6,G,Pixar,"$623,707,397.00",2007
I Am Legend,7.2,101,7,PG-13,Warner Bros,"$585,349,010.00",2007
The Simpsons Movie,7.4,87,8,PG-13,20th Century Fox,"$527,071,022.00",2007
National Treasure: Book of Secrets,6.5,124,9,PG,Walt Disney Pictures,"$457,364,600.00",2007
300,7.8,117,10,R,Warner Bros,"$456,068,181.00",2007
Pirates of the Caribbean: Dead Man's Chest,7.3,151,1,PG-13,Walt Disney Pictures,"$1,066,179,725.00",2006
The Da Vinci Code,6.5,149,2,PG-13,Columbia Pictures,"$758,239,851.00",2006
Ice Age: The Meltdown,6.9,91,3,PG,20th Century Fox,"$660,940,780.00",2006
Casino Royale,8,144,4,PG-13,Metro-Goldwyn-Mayer,"$599,045,960.00",2006
Night at the Museum,6.4,108,5,PG,20th Century Fox,"$574,480,052.00",2006
Cars,7.2,117,6,G,Pixar,"$461,983,149.00",2006
X-Men: The Last Stand,6.8,104,7,PG-13,20th Century Fox,"$459,359,555.00",2006
Mission: Impossible III,6.8,126,8,PG-13,Paramount Pictures,"$397,850,012.00",2006
